formula,gen,out_of_range,tc_ideal_K,tc_hw_K
Ba2.52La1.13Cu3.31O5.44,cuprate,False,54.23,52.41
Ca5.62Cu3.66O1.56,cuprate,False,35.32,31.66
Ca1.41Cu0.28O1.67,cuprate,False,45.54,43.56
Fe1.81P4.52Ca5.83,iron,False,17.28,18.09
Bi5.34Y5.57Cu2.01O2.75,cuprate,False,24.77,22.84
Hg4.95Nd1.42Cu5.74O4.6,cuprate,False,57.96,53.88
Tl5.5Ba5.09Cu0.62O4.51,cuprate,False,43.94,39.0
Y4.21Se5.37,random,False,3.65,3.51
Fe3.71As5.7Bi5.21,iron,False,4.25,3.86
Bi5.49K2.44Te4.42Nb1.94,random,False,3.2,3.42
Si1.08Sn0.18,random,False,5.8,5.61
Ba3.55Te1.12La4.55,random,False,4.09,4.63
Ca5.2La4.79Cu5.21O2.53,cuprate,False,47.41,42.54
Hg1.9Cu2.04O4.45,cuprate,False,39.78,34.11
Rb4.46Co0.8Fe0.37Te3.46Nb0.12,random,False,5.4,6.19
Sr2.26Hg2.03Cu0.89O1.52,cuprate,False,54.24,49.41
H0.68Se1.3,random,False,3.97,3.9
Rb5.5Mo3.6Te1.02Ge3.01,random,False,4.35,4.32
La2.87Cu2.6O0.99,cuprate,False,29.07,24.2
Fe3.87Se1.54Nd4.28,iron,False,7.39,7.2
K1.7Se0.84P2.71Y5.3F2.88,random,False,18.16,17.78
K3.37Y3.09H5.95,random,False,12.28,12.37
La1.05Rb4.36Zr2.7S1.8,random,False,6.58,6.52
Tl0.26Y1.05Cu4.33O3.3,cuprate,False,50.26,49.78
Fe4.88P2.6Bi5.72,iron,False,5.58,5.45
Cu1.89O0.68La4.35V2.1,random,False,24.47,23.56
La2.73Y1.09Cu2.87O1.17,cuprate,False,42.84,40.49
Y2.03H2.9Se2.12,random,False,6.54,5.77
Fe5.02Se5.11Bi1.77,iron,False,6.11,6.69
Sr1.09Cu2.33O3.61,cuprate,False,47.36,45.0
Ba5.43Bi4.12Y3.04,random,False,3.43,3.52
Hg5.85Y1.47Cu2.76O3.5,cuprate,False,51.07,45.63
Tl5.48Ni2.91,random,False,2.32,2.65
Nd0.36Bi5.23Cu1.93O0.72,cuprate,False,14.61,13.58
La4.46Hg4.68,random,False,3.49,3.54
Bi1.78Cu4.85O1.56,cuprate,False,15.85,16.07
La2.16Ni5.02,random,False,2.8,3.48
Bi3.86Ba1.45Cu1.95O3.72,cuprate,False,25.61,24.23
Ba0.21La2.58Cu3.91O5.96,cuprate,False,41.68,36.62
Co2.15Ni1.8Mo5.3Bi1.61,random,False,3.35,3.52
Sr3.09Y1.11Cu1.09O0.14,cuprate,False,36.93,36.24
O4.17H4.76Sb4.22Nb5.73,random,False,6.18,5.75
H2.8V1.34B5.77Nb3.24,random,False,9.23,8.24
Fe0.38Te5.7Y4.91,iron,False,5.26,4.68
La3.81F4.35H3.15,random,False,8.95,8.37
Pb3.52Zr1.12C5.58F2.76,random,False,3.88,9.79
Fe1.99P1.16Sr1.26,iron,False,10.79,11.05
Ba1.46Cu5.21O5.79,cuprate,False,48.8,48.83
Fe0.31P1.39Nd1.14,iron,False,6.01,5.93
Ba1.88Cu5.3O2.24,cuprate,False,43.33,44.47
Si4.12Y3.08,random,False,9.57,8.68
H3.85O1.12As1.23Mg3.67,random,False,18.65,17.85
Fe1.92Se0.56Nd1.72,iron,False,7.83,7.91
Fe1.14As4.51Sr0.19,iron,False,6.68,6.78
Mo0.37Cu2.82Zr3.46F3.4,random,False,18.85,17.88
Ca1.0Cu2.89O2.86,cuprate,False,42.17,41.3
Si5.39P5.05Te0.73As0.21V3.97,random,False,11.66,10.7
Zr1.41V2.06Sn1.48,random,False,3.8,3.79
Ni1.45H1.31Bi4.63Mo5.68Sr3.05,random,False,13.36,12.29
Fe1.61Te1.86La4.32,iron,False,4.79,5.02
Rb0.66Bi3.34,random,False,2.13,2.42
Nb5.33Pb3.34P0.64Sr5.82Sn4.38,random,False,8.74,9.5
Sr4.07Cu3.36O0.78,cuprate,False,34.71,32.59
Hg1.7Ca0.47Cu2.51O3.73,cuprate,False,63.18,61.97
Sr3.36Ca1.84Cu3.37O0.61,cuprate,False,38.15,32.88
Ge3.42Co5.81P5.9Ca1.85,random,False,11.7,10.93
Sr3.47Ba3.11Cu5.96O5.59,cuprate,False,59.46,57.95
Bi5.01Sb5.59Hg0.94Cu5.43Sr5.52,random,False,23.22,22.68
Sr5.8Ti0.65Sn3.93,random,False,5.68,4.36
Bi4.09Cu1.11O0.43,cuprate,False,8.08,7.87
Y1.53Sr5.7Cu1.25O4.7,cuprate,False,51.77,47.69
Mg3.16Ca0.97V4.87O5.24,random,False,27.88,26.96
P2.89Bi2.89Mo5.39Sr3.55,random,False,10.23,10.1
Ba5.46Cu2.23O2.0,cuprate,False,38.51,38.05
Nd3.08Cu5.49O3.49,cuprate,False,32.76,31.66
Te4.45Nb0.56Mg4.04Ti1.91Sn5.56,random,False,11.21,11.9
H5.66Tl5.24Mg3.55,random,False,18.5,19.51
La1.12Y5.6Cu2.41O5.5,cuprate,False,42.81,41.4
C5.18F5.64,random,True,2.86,3.21
Nd0.47Cu3.47O5.14,cuprate,False,27.38,26.49
Fe4.17Se5.35La4.71,iron,False,6.13,6.09
Nb0.74Co4.26O1.73,random,False,8.59,8.21
Hg3.24Cu5.1O2.35,cuprate,False,35.97,35.31
Y3.18Cu5.06O0.82,cuprate,False,31.84,30.21
Y1.37Ca4.5Cu5.02O3.47,cuprate,False,52.08,48.86
B0.91Rb0.61,random,False,9.05,9.48
Se2.73Ba3.22Mg0.79Co0.34,random,False,17.04,16.84
Si1.4Rb5.53,random,False,5.73,5.98
Zr5.69O4.12Ca1.16F1.33P0.82,random,False,14.45,13.35
Fe3.37P5.64La2.76,iron,False,7.0,6.45
Sr5.01Ca4.16Cu2.26O4.33,cuprate,False,53.12,47.59
Tl4.31Co0.92,random,False,2.69,3.1
Tl4.1Cu4.32O3.02,cuprate,False,29.39,27.4
P5.8Cu5.63Ni2.16,random,False,8.05,7.13
S4.08Te4.67,random,False,3.54,3.7
Sr4.96Tl5.94Cu0.93O0.21,cuprate,False,30.2,54.47
Fe2.93Se1.21Bi3.7,iron,False,4.9,5.16
O1.31C1.73,random,False,5.05,4.99
Ge1.59Ba3.31La4.39Hg0.43,random,False,9.11,8.77
Nd5.22Bi2.19Cu3.06O3.75,cuprate,False,24.64,24.13
Ba2.78Ti3.68Mg5.73,random,False,6.17,6.26
Y5.23Cu1.14O4.76,cuprate,False,29.4,28.19
Si1.61Ca1.69B5.89,random,False,16.87,16.15
Ba0.86Ca5.64Cu5.29O5.78,cuprate,False,57.02,57.09
F4.91P0.68Pb3.33,random,False,10.36,9.59
Nd1.34La3.12Cu0.1O3.13,cuprate,False,19.05,18.6
Sr0.5P4.28Ba2.2S2.25Tl0.84,random,False,13.67,13.71
B5.87Te0.12Y4.75Ti5.99,random,False,13.7,13.4
Pb5.44Bi4.61Hg4.57,random,False,3.06,2.89
Hg2.92Bi5.2Se2.66O0.96Tl1.73,random,False,12.39,13.5
Y1.56O1.45Mg4.79Fe0.54,random,False,40.95,40.71
Hg0.4Sr5.46Cu2.02O3.73,cuprate,False,54.9,41.58
La4.06Nd1.28Cu0.32O2.25,cuprate,False,23.89,22.67
Sr5.23Cu1.66O1.88,cuprate,False,37.29,35.69
V1.53La5.44Cu5.13Te1.04,random,False,11.79,10.78
Y3.34Zr3.92Mg3.35S5.1Si2.89,random,False,19.15,18.83
Nd3.9Cu1.59O2.12,cuprate,False,26.69,23.52
Fe2.67As0.49Ba3.44,iron,False,8.67,7.97
Fe1.56As3.79Ca4.3,iron,False,10.12,7.97
Mo1.22Pb1.35As2.01K3.54Ge3.14,random,False,5.13,5.26
Fe4.59As4.11Bi0.54,iron,False,6.09,11.05
V4.43S0.32Ti2.64B4.81Ni5.21,random,False,11.32,11.17
Sb2.02K1.97V4.15Sr3.49,random,False,5.07,4.98
Sr4.81F5.42Ca1.76Ge0.92,random,False,32.72,32.31
Rb2.02K2.65,random,True,2.81,2.86
Te3.19Mg1.33As3.33F5.15,random,False,10.73,10.16
Sn0.64Se0.1Y0.36Cu0.74,random,False,11.76,11.85
Bi3.83Cu0.17O0.79,cuprate,False,5.85,6.19
Sb1.49Si4.57Se0.86Y4.5,random,False,9.61,9.26
Ca2.31Cu3.97O3.78,cuprate,False,43.44,44.11
La4.86Tl5.6Cu0.21O2.94,cuprate,False,26.08,23.73
Fe3.62As5.1Hg5.53,iron,False,6.73,6.37
Sn2.61Te5.3B0.45P2.36,random,False,4.79,5.06
Ca3.13Cu5.62O3.6,cuprate,False,40.76,34.89
Fe1.19P2.95La1.15,iron,False,6.72,6.23
Bi5.93S2.54Mg2.71K4.17Zr5.17,random,False,13.5,13.38
Si0.43Rb5.64,random,False,6.24,6.01
Ti5.31Si0.43P0.44,random,False,14.36,13.22
Mo2.29La3.87H2.38,random,False,6.92,7.03
Fe2.41Ba5.63,random,False,4.01,4.01
Ba4.13Tl3.84Te3.71H3.18,random,False,13.59,13.14
S1.17O5.88,random,False,3.54,3.59
Fe0.89Te4.4Ca0.28,iron,False,4.95,4.78
La4.73Hg1.33Cu5.88O1.35,cuprate,False,47.42,34.7
Fe3.58Te4.61Sr1.77,iron,False,7.13,6.78
Nd5.63Cu0.64O5.02,cuprate,False,19.12,32.45
Fe5.7P3.84Tl2.37,iron,False,7.31,7.88
Fe3.0Te5.36Y4.03,iron,False,6.4,6.33
Tl3.95Nd3.24Cu5.83O3.61,cuprate,False,43.92,43.03
Hg0.16Cu2.95O3.55,cuprate,False,37.38,35.75
V2.4Ba1.79As1.46,random,False,6.24,6.58
Sr5.56Cu1.35O2.71,cuprate,False,38.66,37.56
Bi3.43Cu5.24O5.63,cuprate,False,11.79,11.25
Nd1.61Y3.52Cu3.2O4.05,cuprate,False,47.07,45.37
F1.49Mg4.3Sr1.19C5.49Y1.63,random,False,19.45,20.11
Hg2.96La1.77Cu3.81O2.56,cuprate,False,56.77,55.99
B3.16F5.85Ca1.07Mg0.37,random,False,17.22,15.82
Mg5.23Bi4.1,random,False,4.39,4.5
Fe1.62Se0.5Sr0.31,iron,False,10.9,10.04
Ca5.06Cu1.13O2.89,cuprate,False,40.79,38.68
Sb3.28Hg4.94Ba2.01Nb4.66,random,False,7.51,6.88
Fe4.49P3.41La4.75,iron,False,7.14,8.17
Y4.69Mg2.87Tl1.54Rb4.1Sb1.57,random,False,9.73,10.58
Ca1.56Ba2.3Cu4.12O2.39,cuprate,False,52.55,48.86
Y3.68Cu2.98O3.13,cuprate,False,35.86,30.5
Fe4.53Te2.9Bi4.83,iron,False,4.16,4.22
Tl2.61Se1.57Cu0.58O1.34,random,False,14.34,12.99
Fe2.32P3.18Nd5.16,iron,False,6.66,6.31
Sr0.96Ge3.54,random,False,5.17,4.86
Te5.01Fe4.23Zr5.17Nb1.99,random,False,7.74,7.96
Ba2.12Sr4.01Cu3.52O2.81,cuprate,False,53.89,18.37
Tl2.67O1.57P1.62,random,False,8.05,7.84
Fe2.18P0.57Ca1.64,iron,False,14.24,13.84
Fe2.03Te1.26Y4.37,iron,False,8.3,8.6
Sr5.6Tl2.54Pb4.98Te3.4Fe5.53,random,False,8.82,8.59
Ba2.9Cu2.85O3.23,cuprate,False,49.06,46.72
Bi0.42Tl3.57Cu2.41O3.12,cuprate,False,26.05,24.89
Ca0.53Hg4.0Si5.19Sb1.5,random,False,12.47,12.75
Fe2.44Se4.07Sr5.07,iron,False,9.73,9.17
Fe3.39P5.55Tl2.3,iron,False,6.52,6.89
Y4.64Cu1.68O5.44,cuprate,False,31.54,29.64
La0.8Sr3.42Cu1.39O2.91,cuprate,False,54.53,51.19
Ba0.11Hg4.72Cu1.94O2.62,cuprate,False,51.73,48.51
Bi1.21Hg4.51Cu4.12O1.75,cuprate,False,38.58,35.89
Rb4.07Bi1.21K4.71F5.89La3.98,random,False,22.83,22.17
C5.3Sr3.87Ni2.95,random,False,8.98,9.04
Ba3.24Cu5.16O2.29,cuprate,False,43.42,34.09
Fe0.31Se4.76Ba1.36,iron,False,5.67,5.99
Fe1.93As0.17Y1.66,iron,False,8.93,8.71
Pb4.35Co5.17Mg5.89Bi5.06,random,False,5.01,5.11
La1.19Cu3.08O4.29,cuprate,False,28.73,26.54
Fe0.11Se5.15Bi1.79,iron,False,3.55,3.45
Ba5.16Ca2.31Cu4.95O3.31,cuprate,False,50.8,48.9
Fe5.58Te2.81Sr1.01,iron,False,8.7,7.37
Ca2.26Bi1.26Mo5.34As0.36C4.39,random,False,8.36,7.7
Ni0.27Cu4.97Ge4.88Rb1.82Fe3.59,random,False,10.53,17.37
Fe5.26Te0.23Y3.81,iron,False,9.89,10.28
Co1.44B2.06,random,False,8.43,8.45
Bi3.6Cu3.37O0.4,cuprate,False,11.09,10.8
Ni5.86C3.71Mo5.63,random,False,5.93,5.79
Ca0.24Cu1.89O3.42,cuprate,False,35.74,35.77
Bi3.26Cu5.82O1.68,cuprate,False,14.13,13.81
O3.2Sb2.39K4.92V5.39,random,False,10.39,10.5
Ca5.25Cu2.3O1.1,cuprate,False,33.89,32.37
Y5.8Cu1.36O5.71,cuprate,False,29.66,29.62
V4.69C0.6Ti0.6,random,False,11.51,11.81
Rb1.93Cu2.66,random,False,4.53,4.6
B2.18Mo3.98Rb5.95Tl5.07H2.64,random,False,12.88,12.81
As3.4B3.43Ba0.85,random,False,10.04,8.83
Se2.45Zr3.36Pb4.04Si5.4,random,False,8.7,8.7
Fe4.9Se2.12Y1.93,iron,False,10.09,10.09
Y4.4As4.42O0.23Sn5.76Si1.5,random,False,12.37,11.72
Nb5.25K4.34,random,False,2.37,2.53
Y2.31Hg5.7Cu3.47O5.32,cuprate,False,55.64,53.77
Nd1.41Cu2.23O5.76,cuprate,False,23.38,21.36
Ca0.15Cu4.76O4.59,cuprate,False,34.17,32.15
B0.11As2.5La5.28,random,False,6.51,6.43
Mo3.78V3.95,random,False,4.47,4.5
Sr4.99Cu2.56O3.03,cuprate,False,42.15,33.34
Ni2.87Fe1.87Pb3.06Hg2.12,random,False,5.94,6.31
F4.55O0.52Co1.58Ca3.79,random,False,16.86,15.45
Nd4.46Cu4.59O0.52,cuprate,False,26.86,26.2
K1.31Pb0.53,random,False,2.79,2.99
Sb5.5Ca2.12C5.4B4.03Cu1.66,random,False,12.14,12.0
Fe4.1Zr4.32,random,False,5.15,4.74
Fe3.42Te5.28Nd4.92,iron,False,4.94,4.77
Fe4.86Se2.29Bi1.08,iron,False,7.02,7.1
Bi3.45Y4.75Cu0.54O2.74,cuprate,False,21.38,20.43
Bi3.73Y0.94Cu0.61O3.04,cuprate,False,13.43,13.09
La5.71Cu2.32O2.97,cuprate,False,26.2,25.31
Fe2.47As1.48Hg3.79,iron,False,6.74,6.44
Y4.81Bi4.63,random,False,2.31,2.45
Sn4.12Rb5.41As2.45Bi2.58,random,False,3.66,3.56
Fe0.71Te3.94Ba3.91,iron,False,7.01,6.79
Y2.32V2.1,random,False,3.09,3.24
Mg5.39O5.13Sr1.49La4.63,random,False,42.77,39.61
Sr4.57Cu2.63O1.05,cuprate,False,35.51,26.85
Bi0.32Sr3.81S4.75V3.68Sn0.53,random,False,10.97,11.58
Fe5.44P1.27Tl0.66,iron,False,9.08,9.73
Y1.99Sn4.73Cu5.79,random,False,5.43,5.73
Rb4.54Ni0.59,random,False,3.46,3.35
Y5.97Hg5.64O4.88F3.45,random,False,11.18,11.34
Nd3.43La0.56Cu0.73O4.48,cuprate,False,21.75,19.81
Ba5.51Ge5.28Bi2.34Y2.19,random,False,6.53,5.27
B1.51C5.01Si3.38,random,False,8.16,7.81
Zr5.97Tl4.66Ni2.67As3.64Y5.26,random,False,6.82,22.97
La0.18Mo5.77P3.14O2.5Sb4.11,random,False,11.42,12.19
Fe2.27P3.96La5.66,iron,False,6.27,6.73
Nd5.8Cu1.63O0.2,cuprate,False,21.16,19.16
Nd4.36Cu5.6O4.63,cuprate,False,31.76,30.96
O4.77Rb1.36H1.5,random,False,15.73,16.34
Tl1.23Cu4.88O5.24,cuprate,False,32.51,29.85
Hg0.36Cu4.92O5.42,cuprate,False,38.05,35.9
Co3.77Pb4.15Y5.79Tl3.88S4.42,random,False,10.51,10.47
Ge5.77Sn5.44P1.0Se0.3Pb1.16,random,False,5.63,5.74
La5.81Cu1.71O1.67,cuprate,False,24.13,23.69
F2.28Nb0.45Ti3.89Co3.95Bi1.2,random,False,19.91,18.89
Co2.79As0.39,random,False,5.17,5.72
Ba1.37Sb1.21Bi4.78Te0.18O2.2,random,False,7.81,7.48
Y0.86Cu3.73O2.04,cuprate,False,35.02,33.36
H2.13Zr0.81,random,False,5.58,5.31
Fe1.22P1.66Nd1.24,iron,False,7.11,7.29
Ni5.37Y3.85Zr4.72C0.25,random,False,11.32,11.1
Bi3.17Y1.59Cu0.93O1.48,cuprate,False,20.23,19.65
Nd2.5Cu1.94O0.71,cuprate,False,28.52,24.6
Fe2.14Se1.46Nd4.08,iron,False,6.73,6.68
Hg5.34Cu5.13O4.9,cuprate,False,36.83,36.65
Fe3.31Te0.22Bi5.12,iron,False,3.84,3.89
Ge3.39V5.9,random,False,4.02,4.12
Bi3.86La4.65Cu1.39O4.71,cuprate,False,15.39,14.91
Bi1.55Sr2.45Cu2.22O4.51,cuprate,False,39.75,24.32
Fe2.29P2.03Y5.81,iron,False,9.65,9.72
K0.35C1.19Ni1.19Sb1.55B0.69,random,False,7.34,7.48
Y2.92Cu2.49O0.56,cuprate,False,31.28,31.6
Ge3.73Ba4.43Pb1.45,random,False,5.8,5.92
Y1.29Cu3.11O3.86,cuprate,False,35.91,33.77
Ba2.41Cu2.02O4.35,cuprate,False,50.79,48.92
C5.12Sr2.62,random,False,9.2,9.79
Fe3.35P1.9Ca1.63,iron,False,13.99,13.13
O2.89Ba4.2Nb2.25Te4.36,random,False,10.26,10.77
Nb3.16As5.53Ba1.92Si0.66Se4.29,random,False,10.94,10.26
Y4.63Nd2.27Cu4.6O4.73,cuprate,False,48.02,45.05
Bi3.5Cu2.25O5.55,cuprate,False,7.83,7.75
Fe4.62P1.25Sr2.77,iron,False,11.12,9.87
Ba5.89Sn3.93H5.19,random,False,14.18,14.77
Fe3.19Te2.71Ca3.07,iron,False,12.2,11.73
La0.95Ca2.49Cu4.47O3.3,cuprate,False,53.82,42.94
Hg0.59Cu5.43Tl5.67Mo5.32,random,False,8.35,8.78
La1.18Cu3.87O1.89,cuprate,False,32.07,30.62
Bi2.81Hg1.82Cu5.78O3.15,cuprate,False,37.63,33.36
Fe4.99Te5.32Tl2.64,iron,False,4.93,4.7
Pb3.72B2.96H3.58Si3.48,random,False,8.71,8.07
Nd3.99Tl0.93Cu3.52O1.7,cuprate,False,42.43,39.06
Fe1.1P1.56Hg4.41,iron,False,7.72,7.22
B2.22Ca3.88C2.12,random,False,17.89,15.45
Fe4.54P4.54La3.69,iron,False,7.3,23.59
Fe4.9As3.52Hg3.58,iron,False,7.45,7.09
Bi5.32Cu5.13O5.79,cuprate,False,10.43,9.57
As2.19Ti1.58Ca0.65La5.49Fe3.38,random,False,10.8,10.48
Ge2.89Rb3.05,random,False,2.9,3.02
Hg2.69Cu5.32O4.69,cuprate,False,39.68,38.56
Fe5.88Se2.89Tl0.63,iron,False,7.96,7.35
Fe3.09As3.11Ba3.08,iron,False,8.03,7.82
Ca1.2Nd3.82Cu0.79O4.89,cuprate,False,38.52,39.09
Ca2.12Mo0.21Tl0.46,random,False,4.84,4.69
Mg0.87Ni1.73,random,False,6.64,7.02
Ni5.61Mo5.42Ba0.94,random,False,3.25,3.38
Hg2.95Cu2.45O4.27,cuprate,False,38.13,36.77
Ca3.36Nd5.82Cu4.87O1.37,cuprate,False,42.27,37.39
Ba2.91Ti0.51,random,False,4.0,3.89
K3.11Si3.01Mg3.05,random,False,8.95,8.95
Ge2.29P1.72Si0.61,random,False,5.18,6.08
Pb1.29S5.34,random,False,4.01,4.29
Fe2.78P1.43Tl1.17,iron,False,7.36,6.6
Pb0.38Se1.14As4.47H3.25,random,False,6.44,5.34
Ti2.99Si4.21Mg0.87La0.18Nb4.45,random,False,15.04,14.55
Bi1.33Cu5.63O0.78,cuprate,False,15.35,15.04
Fe1.94As5.04Ba5.34,iron,False,7.85,7.54
Ge4.78Sn3.1Hg1.55,random,False,4.79,4.84
Ba3.34Cu5.53O2.38,cuprate,False,43.31,37.42
K1.76Fe0.26Si1.14Tl1.93,random,False,6.14,29.78
Fe4.47As2.03Ca5.62,iron,False,9.7,9.04
Nb5.45H3.23Tl0.69Rb0.62,random,False,8.47,7.65
Hg0.23Cu3.28O5.15,cuprate,False,37.59,36.99
Ca2.57Hg3.42Cu2.02O0.16,cuprate,False,41.08,39.33
F0.31Y0.32Pb4.93Fe1.36Sb3.21,random,False,15.68,15.41
Bi1.38Y1.6Cu5.05O0.16,cuprate,False,31.25,29.3
Y5.43Bi1.69Cu5.77O4.15,cuprate,False,40.92,38.3
Pb5.32Sb4.1B2.7,random,False,4.35,4.65
Mo1.91Ni3.8Hg1.12As4.76,random,False,6.13,5.77
Hg0.97Cu4.85O5.56,cuprate,False,40.38,40.13
La3.67Cu4.56O2.39,cuprate,False,30.94,27.98
S1.12Se2.61Mo3.44Hg1.19,random,False,8.36,8.82
Sr2.46Cu3.93O2.79,cuprate,False,44.58,39.48
Fe4.55P3.61Nd2.1,iron,False,8.4,7.61
Sr4.49Mo4.84,random,False,3.79,4.01
Hg4.83Cu0.88O2.61,cuprate,False,28.76,26.31
Ge4.81S2.97La4.23Te3.39V3.58,random,False,5.85,6.04
Fe2.92C0.6Ni1.3Rb6.0,random,False,11.06,10.66
Sr2.96Cu0.92O4.63,cuprate,False,45.31,37.87
Bi2.17Y2.49Cu1.88O2.8,cuprate,False,27.76,24.49
B0.63La5.92,random,False,8.09,8.0
Ge1.81Ba4.62V5.46,random,False,5.52,5.03
Hg5.6Cu1.0V2.53,random,False,10.52,9.19
P0.91Bi5.79Mg0.63,random,False,5.09,4.8
Tl5.4Bi1.79Cu0.48O5.76,cuprate,False,13.93,19.0
C2.76Ni5.61,random,False,9.0,9.37
Bi3.53Cu4.93O1.8,cuprate,False,13.2,13.05
Fe1.18Se4.87Tl0.3,iron,False,4.43,4.21
Ca2.12Cu4.8O5.3,cuprate,False,43.41,43.05
Y1.47Hg2.35Cu0.22O2.29,cuprate,False,44.62,42.11
V1.82Fe3.43O3.85,random,False,11.48,10.64
Si0.32Zr0.86Y4.32,random,False,10.3,10.31
